lib_id,user,lib,version,script_id_part,name,access,sha256,file
jason5480/biased_price_target/9,jason5480,biased_price_target,9,PUB;f4746420260842a5a9ae1dc4ab7d31dd,biased_price_target,open_no_auth,ed8f30baf3ad1a7f6a4236b96d5b2c32e27e4c90a8751fc4105072fa4164e3f8,corpus/libs/lib/jason5480/biased_price_target/v9.pine
jason5480/chrono_utils/7,jason5480,chrono_utils,7,PUB;bc8fee79a8024ebda00abae68de9c9cc,chrono_utils,open_no_auth,c7af871c1ca0e26b9943d73824f75931105507aa7b209525aeffaba3d8c5f696,corpus/libs/lib/jason5480/chrono_utils/v7.pine
jason5480/chrono_utils/8,jason5480,chrono_utils,8,PUB;bc8fee79a8024ebda00abae68de9c9cc,chrono_utils,open_no_auth,d60f08cc6ea70aae952efc965094dbfab9c4d4c41d9ce2061d8b0a7b11d91666,corpus/libs/lib/jason5480/chrono_utils/v8.pine
jason5480/distance_ratio/16,jason5480,distance_ratio,16,PUB;7c0aa2c63fae4d219e08cbd63a264cff,distance_ratio,open_no_auth,31c9316fb674196f3d180ba2a8010fdedf61384379c8626893a43b08da6e440d,corpus/libs/lib/jason5480/distance_ratio/v16.pine
jason5480/math_utils/11,jason5480,math_utils,11,PUB;0dc67a5bad854ca99be7ebc4c46e82df,math_utils,open_no_auth,630be502c1476a2a779df1f6cc62a710797d4f4e8883cfdc8a583b44482bf703,corpus/libs/lib/jason5480/math_utils/v11.pine
jason5480/series_collection/4,jason5480,series_collection,4,PUB;71302c3fcfa74f6da036f661916b6948,series_collection,open_no_auth,2dad53ab8ee3883032aff87e56bfbd1ee58386ea17df6a5498457afb1c7b59f1,corpus/libs/lib/jason5480/series_collection/v4.pine
jason5480/signal_datagram/5,jason5480,signal_datagram,5,PUB;5f34e572820d42daa8bc5549ab1827c4,signal_datagram,open_no_auth,4461593a03b0891002825726cea87a56fe648f73181dfa1b2ecc6b6ca8a5fd5e,corpus/libs/lib/jason5480/signal_datagram/v5.pine
jason5480/string_utils/6,jason5480,string_utils,6,PUB;ad0050c34d0846b6b214f1337336df89,string_utils,open_no_auth,e20d29d7dccbc243564d7fbfa8491dcb212241a9f5593ac33d4601c7e0c73e4e,corpus/libs/lib/jason5480/string_utils/v6.pine
jason5480/tts_convention/7,jason5480,tts_convention,7,PUB;3b8a7bc3c8104a9eaa3381e023603980,tts_convention,open_no_auth,f38fb4c81d3879241449af845dfda275f895fca9d68a256b751209f1e7d2c8d8,corpus/libs/lib/jason5480/tts_convention/v7.pine
jason5480/two_ma_logic/11,jason5480,two_ma_logic,11,PUB;9d7ab8725fae44059ea497091537b779,two_ma_logic,open_no_auth,a7ef48160fdb254dd96ebd8a21750d790ff471fd9bc70607d529185b2a2dd1f4,corpus/libs/lib/jason5480/two_ma_logic/v11.pine
jordanfray/obvFilter/2,jordanfray,obvFilter,2,PUB;c10599ab66e840e88af32445e288e418,obvFilter,open_no_auth,e39898793bf8a9d713cf2bc08f57425b88b79c50649cc8b9500ffa8c4c06a465,corpus/libs/lib/jordanfray/obvFilter/v2.pine
jordanfray/threengine_global_automation_library/89,jordanfray,threengine_global_automation_library,89,PUB;8c612c16c9984adba4cb5cdba57b8c3a,threengine_global_automation_library,open_no_auth,7d969a4055912680d695abbb0578e4ce2c0545c981794fc5d98b5be87cbf828a,corpus/libs/lib/jordanfray/threengine_global_automation_library/v89.pine
wbburgin/wbburgin_utils/2,wbburgin,wbburgin_utils,2,PUB;ce1c6737e54f46049ecd2ae27a474c31,wbburgin_utils,open_no_auth,40349955d44c49a4b152ebd15ba0be4707caa9429176b8fd60321db719b68dc4,corpus/libs/lib/wbburgin/wbburgin_utils/v2.pine
